Text,Date,label
Reliance Jio has introduced an yearly plan that will offer 2.5GB daily data to its customers for a period of 365 days.,08-01-2022,Neutral
"Last quarter, RIL’s retail arm, Reliance Retail Ventures Ltd (RRVL) acquired a 52% equity stake in Ritika Pvt. Ltd, which owns Ritu Kumar, Label Ritu Kumar, RI Ritu Kumar, aarké, and Ritu Kumar Home and Living",23-01-2022,Neutral
RIL’s December quarter results were marked by a sharp rebound in the retail business.A sore point for RIL was the fall in net subscriber additions in Reliance Jio due to SIM consolidation.Disruptions owing to the rise in covid cases could adversely impact retail business of RIL in Q4,23-01-2022,Negative
"The company also asked the Supreme Court to restrain lenders from declaring it a defaulter.Amazon and Reliance have offered to bail out Future, the counsel informed the court",03-02-2022,Neutral
Reliance Jio and Bharti Airtel offers four to six prepaid recharge plan that comes with 1.5 Gb of daily data balance. Check them out here.,23-02-2022,Neutral
"The infusion of funds will not only help the cash-strapped Vodafone Idea compete with larger rivals Bharti Airtel and Reliance Jio Infocomm, but will also make it easier for the company to raise additional funds from external investors",03-03-2022,Positive
"Envisioned by Nita Ambani, director of Reliance Industries and founder-chairperson of Reliance Foundation, the centre covers an expanse of 18.5 acres in Mumbai's Bandra Kurla Complex and is set to become an iconic business, commerce and culture destination, giving India and its citizens a world-class landmark.",04-03-2022,Positive
"Tripartite deal with Reliance among proposals under consideration.Ahead of the proposed settlement talks, RIL took control of more than 250 stores of Future’s major Big Bazaar stores",08-03-2022,Neutral
"E-tailer says Future willingly surrendered store leases to Reliance.Amazon, in the court documents, also detailed why it considers Future Retail’s conduct as one of so-called ‘connivance’",16-03-2022,Neutral
"After Reliance Jio, Airtel has launched two new prepaid plans worth Rs 296 and Rs 319 with an exact 30-day validity.",01-04-2022,Neutral
"The bank’s decision in all likelihood will bring to a halt the asset sale deal between Future-Group and Reliance Industries Ltd, worth Rs24, 713 crores, signed in August 2020",14-04-2022,Neutral
70 per cent of secured creditors had rejected the Reliance-Future Retail deal last week,25-04-2022,Neutral
Steel-to-salt conglomerate Tata Group is evaluating plans to enter the chip-making business to cut its reliance on imports. The news came at a time when a global semiconductor shortage has hurt the production of everything from cars to computers. “Manufacturing semiconductors is a space we are looking at. We have already gotten into precision manufacturing and related assembly,29-04-2022,Negative
